City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
351,fortuna foothills,1,US,1524869820,11,32.66,-114.41,96.8,5.82
352,visnes,92,NO,1524869400,87,59.36,5.22,42.8,8.05
353,alcantara,100,PH,1524872421,96,9.97,123.41,81.25,7.74
354,abu kamal,92,SY,1524872421,100,34.45,40.92,60.1,3.94
355,caconda,0,AO,1524872421,66,-13.73,15.06,55.05,4.5
356,pangody,76,RU,1524872421,89,65.85,74.49,30.94,13.22
357,namatanai,76,PG,1524872422,98,-3.66,152.44,84.85,1.92
358,pinawa,48,CA,1524872422,60,50.15,-95.88,47.95,7.96
359,ponta delgada,20,PT,1524870000,67,37.73,-25.67,57.2,5.82
360,russell,75,AR,1524870000,51,-33.01,-68.8,60.8,5.82
361,belaguntha,0,IN,1524872422,86,19.88,84.65,68.37,2.82
362,manokwari,36,ID,1524872422,99,-0.87,134.08,82.95,6.4
363,harnosand,12,SE,1524869400,92,62.63,17.94,32.0,2.24
364,panaba,92,MX,1524872423,87,21.28,-88.27,77.29,6.4
365,vanavara,24,RU,1524872423,68,60.35,102.28,31.65,5.84
366,qeshm,56,IR,1524870000,69,26.96,56.27,78.8,4.7
367,salinopolis,76,BR,1524872423,100,-0.61,-47.36,80.7,12.21
368,boende,32,CD,1524872423,88,-0.28,20.88,73.95,2.59
369,deputatskiy,56,RU,1524872423,95,69.3,139.9,22.75,3.94
370,dwarka,40,IN,1524870000,48,28.58,77.04,86.0,8.05
371,vila,75,IT,1524869700,100,45.18,8.4,59.0,2.24
372,lorengau,24,PG,1524872424,98,-2.02,147.27,84.85,5.39
373,requena,20,ES,1524870000,93,39.49,-1.1,62.6,6.93
374,kununurra,0,AU,1524870000,69,-15.77,128.74,73.4,2.24
375,nacala,0,MZ,1524872424,97,-14.56,40.69,80.17,9.64
376,del rio,1,US,1524869700,26,29.36,-100.9,80.6,5.82
377,jinka,64,ET,1524872424,97,5.79,36.57,60.45,1.7
378,petropavlovsk-kamchatskiy,75,RU,1524870000,55,53.05,158.65,35.6,6.71
379,chermoz,92,RU,1524872425,94,58.79,56.15,37.87,12.55
380,vila franca do campo,20,PT,1524870000,67,37.72,-25.43,57.2,5.82
